instances,feature_kDN,feature_DS,feature_TD_P,feature_TD_U,feature_CLD,feature_N1,feature_N2,feature_LSR,feature_Harmfulness,feature_Usefulness,algo_bagging,algo_dummy,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
1,0.0,0.5523012552301255,1.0,1.0,0.49352850954116323,0.0,0.04196313982650912,0.8656972601054671,0.0,0.7718253968253969,9.992007221626415e-16,0.6856751657212442,3.0129562591752376e-06,0.6808456003729015,9.992007221626415e-16,0.07574941352811042,0.6931471805599453,3.0087043967342197e-14
2,0.0,0.0,0.9,0.9,0.5075536894464091,0.0,0.08503329243513458,0.8189517138080481,0.0,0.7757936507936508,9.992007221626415e-16,0.6856751657212442,0.0022999029229298154,0.7142116428124092,9.992007221626415e-16,0.11608736293219263,0.7135296625641087,3.0087043967342197e-14
3,0.2,0.0,0.9,0.9,0.5004225687189517,0.0,0.4321836506482012,0.9613553782811772,0.025793650793650792,0.9761904761904762,0.09975040276705947,0.6831968497067772,0.001348291590374334,0.7172183574493093,2.990604608709052e-08,0.11243985324462691,0.6690395243111552,0.2703572431322989
4,0.0,0.029288702928870314,1.0,1.0,0.49672197683596986,0.0,0.03554624908787718,0.862750891158957,0.0,0.7903225806451613,9.992007221626415e-16,0.7006754469807368,0.002531256705588296,0.6834995095778955,9.992007221626415e-16,9.992007221626415e-16,0.6931471805599453,2.4453683072601546e-06
5,0.0,0.5146443514644352,0.8,0.8,0.4916203935353549,0.0,0.10089719656804741,0.8080399326260239,0.0,0.7916666666666666,9.992007221626415e-16,0.6831968497067772,0.01583277848820125,0.6598905087466318,9.992007221626415e-16,0.006825965070399871,0.6411265540876339,3.0087043967342197e-14
6,0.0,0.0,0.9,0.9,0.5132387114114927,0.0,0.035382407318709674,0.8470836456166384,0.0,0.8095238095238095,9.992007221626415e-16,0.6856751657212442,0.00432656392797131,0.686996737134771,9.992007221626415e-16,9.992007221626415e-16,0.6115842505884821,4.61297666731859e-13
7,0.0,0.40585774058577406,0.8,0.8,0.5115667624474225,0.0,0.1885092468462709,0.9387917465439514,0.0,0.9193548387096774,9.992007221626415e-16,0.7006754469807368,0.003312462811097207,0.7440611338220638,9.992007221626415e-16,0.009569451016150672,0.6174232663225735,0.00016984679768269653
8,0.0,0.5146443514644352,0.8,0.8,0.4901015068333083,0.0,0.0349021169522431,0.7511353325541594,0.0,0.8571428571428572,9.992007221626415e-16,0.6831968497067772,0.0032122321369020723,0.6414203790325865,9.992007221626415e-16,9.992007221626415e-16,0.7468883947721567,3.0087043967342197e-14
9,0.0,0.029288702928870314,1.0,1.0,0.4856139731552934,0.0,0.03588523259794041,0.8176069349589196,0.0,0.8004032258064516,9.992007221626415e-16,0.7031975164134467,0.016227148366694647,0.7057192915290402,9.992007221626415e-16,0.054809065303975,0.7799238759751305,1.0000001482835065e-07
10,0.0,0.6401673640167365,0.9,0.9,0.5050695827626879,0.0,0.09564822996160371,0.8992706873990585,0.0,0.8346774193548387,9.992007221626415e-16,0.7006754469807368,0.003494086422975081,0.7224030770174684,9.992007221626415e-16,0.11263198384890503,0.6364812438913791,2.0637240883144793e-05
11,0.0,0.9539748953974896,0.3,0.3,0.49720407869634503,0.0,0.04863425021586032,0.8958002462099502,0.0,0.8412698412698413,0.0462510176507557,0.6856751657212442,3.0129562591752376e-06,0.6528776547909179,9.992007221626415e-16,0.13976194237515874,0.6605804331898374,2.193009107883216e-10
12,0.0,0.9414225941422594,0.7,0.7,0.49184974547742244,0.0,0.05332801821970512,0.7737368524281591,0.0,0.8531746031746031,9.992007221626415e-16,0.6856751657212442,0.0028830134734016185,0.684781207365871,9.992007221626415e-16,9.992007221626415e-16,0.7437576783102765,3.0087043967342197e-14
13,0.0,0.0,0.9,0.9,0.5040670136771584,0.0,0.07900532500600788,0.8541258153620432,0.0,0.8392857142857143,9.992007221626415e-16,0.6856751657212442,2.917801735187156e-06,0.6895433258765579,9.992007221626415e-16,0.09320164050623939,0.641417540796514,3.0087043967342197e-14
14,0.0,0.0,0.9,0.9,0.5099525912369132,0.0,0.23513828215209398,0.9403408256660858,0.027777777777777776,0.9107142857142857,9.992007221626415e-16,0.6856751657212442,0.0022999029229298154,0.6859901639534897,9.992007221626415e-16,9.992007221626415e-16,0.7260549536981012,0.006205580812133708
15,0.0,0.5146443514644352,0.8,0.8,0.4897969150367748,0.0,0.1634963464052368,0.8138121958733187,0.0,0.8134920634920635,9.992007221626415e-16,0.6856751657212442,0.01583277848820125,0.6562729919589585,9.992007221626415e-16,9.992007221626415e-16,0.7176447834364699,3.0087043967342197e-14
16,0.0,0.029288702928870314,1.0,1.0,0.48574939917984444,0.0,0.045427190349383695,0.8730017226390867,0.0,0.8205645161290323,9.992007221626415e-16,0.7006754469807368,0.003996835280810006,0.6681015665559068,9.992007221626415e-16,0.058840500022933465,0.8180791045283171,1.7367883617853164e-05
17,0.2,0.5523012552301255,1.0,1.0,0.49698782012665177,0.0,0.3523671024786904,0.9483282842293266,0.00992063492063492,0.9563492063492064,9.992007221626415e-16,0.6856751657212442,0.022695943990506975,0.6849787146789157,9.992007221626415e-16,0.038839833316263894,0.6754427362175291,0.010149858915579358
18,0.0,0.029288702928870314,1.0,1.0,0.49557760753847824,0.0,0.08388023981001536,0.8518383297924927,0.0,0.810483870967742,9.992007221626415e-16,0.7006754469807368,0.0032937908511166364,0.6799485282315126,9.992007221626415e-16,9.992007221626415e-16,0.6775924773973524,1.5088922903535016e-05
19,0.0,0.40585774058577406,0.8,0.8,0.5115916071289348,0.0,0.14695647420301416,0.820449138790957,0.0,0.814516129032258,9.992007221626415e-16,0.7006754469807368,0.007096331693063577,0.7051349664964357,9.992007221626415e-16,0.02139118998131756,0.5891376627872393,1.0000001482835065e-07
20,0.0,0.5146443514644352,0.8,0.8,0.4897293869857871,0.0,0.020044772477978978,0.7788466424785194,0.0,0.8333333333333334,9.992007221626415e-16,0.6856751657212442,0.001186292860181051,0.6438930698817632,9.992007221626415e-16,0.04819902218644161,0.7443214077765429,3.0087043967342197e-14
